smile,value_min,value_max,value_mean,labled,testTemperature,testfrequency,FC1=CC=CC(F)=C1,CN1C(=O)C=CC1=O,FC1=CC=C(F)C=C1,SC1=CC=C2CNCC2=C1,C[SH](=O)=O,C1=CC=CC=C1,CC1=CC=C2CNCC2=C1,FC1=CC=CC=C1F,O=[SH]C1=CC=CC=C1,FC(F)F,CCO,CN,COC,CC1=CC=C(O)C=N1,CSC1=CC=CC=C1,CC1=CC=C(C)C=C1,O=C1NCC2=CC=CC=C12,CCOCC,COC1=CC=C2CNCC2=C1,O=C1NC(=O)C2=CC=CC=C12,C=O,CC=O,CS(C)=O,NC1=CC=C(C2=CC=CC=C2)C=C1,COC=O,N#CC1=CC=CC=C1,NC1CCNC1=O,OC1=CC=CC(F)=C1,OC1=CC=CC=C1F,C1=CC=C2CNCC2=C1,C1=CC=NC=C1,NC1CCNC1,CC(C)N,CC#N,C1=CC=C(N2CCCC2)C=C1,O=S,C1=CC=C(OC2=CC=CC=C2)C=C1,CC1=CC=C(N)C=C1,O=C1CCC(=O)N1,CCN1CC=CC1,C1=C2CNCC2=CC2=C1CNC2,C=C,O=CC1=CC=CC=C1,OC1=CC=C(N2CC=CC2)C=C1,CN1CCCC1=O,CN1CC(N)CC1=O,CC,COC1=CC=C(C)C=C1,CC(C)=O,CC1=CC=C(N2CC=CC2)C=C1,C1=CC=C(SC2=CC=CC=C2)C=C1,CC1=CC=CC=N1,C#N,C1=CC=C(C2=CC=CC=N2)N=C1,COC1=CC=C(C)N=C1,CN1CC=CC1,CNC,OC1=CC(F)=CC=C1F,OC1=CC=C2CNCC2=C1,COC1=CC=CC=C1,C=CC1=CC=CC=C1,NC1=CC=C(S)C=C1,O=C1CCCN1C1=CC=CC=C1,N#CC1=CC=CC=C1O,O=C1NCC2=CC=C(S)C=C12,NCCO,OC1=C(F)C=CC=C1F,C1=CC=C(N2CC3=CC=CC=C3C2)C=C1,OC1=CC=C(C2=CC=CC=N2)N=C1,CCOC,C1=CC=C(OC2=CC=CN=C2)C=C1,CC1=CC=C2CN(C)CC2=C1,NC1=CC=C(O)C=C1,CN1CC2=CC=CC=C2C1=O,OC1=CC=CN=C1,C=CC1=CC=C(O)C=C1,OC1=CC(F)=CC(F)=C1,C1C2CC3CC1CC(C2)C3,CC1=CC(C)=CC(C)=C1,CC1=CC(N)=CC=C1O,O=C1NCC2=CC3=C(C=C12)CNC3,C1=CC=C(C2=CC=C3CNCC3=C2)C=C1,C1=CC=C(NC2CCNC2)C=C1,O=C1NCC2=CC=C(O)C=C12,CS,SC1=CC=CC=C1,CSC,FCF,OC1=CC=C(C2=CC=CC=C2)C=C1,C1=CC=C(C2=CC=CC=C2)C=C1,C=CC1=CC=CC(F)=C1,CF,NC1CNC(=O)C1,CC(=O)O,NC1CCN(C2=CC=CC=C2)C1,CC1=CC=C(O)C(N)=C1,CC1=CC(F)=CC=C1F,O=CO,CNC1=CC=C(O)C=C1,C1=CCN(C2=CC=CC=C2)C1,CC1=CC=C2C(=O)NCC2=C1,CC1=CC=CC=C1,CC1=CC=CC(N)=C1,CN1CC=CC1=O,CC1=CC(F)=CC(F)=C1,OC1=CC=CC=C1,C=CC1=CC=CC=C1F,CN1C(=O)CCC1=O,CC1=CC=C(O)C=C1C,O=C1C=CC(=O)N1,OC1=CC=CC(O)=C1,CCCOC,CC1=CC=C(O)C(F)=C1,C1=CCNC1,O=C1NCC2=CC(O)=CC=C12,CSC1=CC=C(N)C=C1,CC12CC3CC(CC(C3)C1)C2,COC1=CC=CC(O)=C1,CN1CCC(N)C1=O,CNC1CCNC1,CN1CCC(N)C1,CNC1=CC=CC=C1,COC1=CC=C(N)C=C1,CC1=CC=C2CNC(=O)C2=C1,CNC1CCN(C)C1,COC1=CC=CC=C1F,CCC1=CC=C(O)C=C1,CCC1=CC=C(N)C=C1,C[SH]=O,CNC1CNC(=O)C1,FC1=CC=C(F)C(F)=C1,O=S=O,COC1=CC=CN=C1,CNC1CCNC1=O,O=CC12CC3CC(CC(C3)C1)C2,COC1=CC=CC(F)=C1,CCC,O=C1CCCN1,CN1CC2=CC=C(O)C=C2C1,FCC1=CC=CC=C1,CN1CC2=CC=C(S)C=C2C1,S,CC1=CC=C(O)C=C1F,CC1=CC=CC=C1O,NC1=CC=CC=C1,C1=CC=C(CC2=CC=CC=C2)C=C1,O=C1NCC2=CC(S)=CC=C12,CCCO,CC1=CC=C(O)C=C1,CN1CCCC1,SC1=CC=C(N2CC=CC2)C=C1,CC1=CC=CC=C1C,CCC1=CC=CC(C)=C1,CC1=C(F)C=CC=C1F,C1CCNC1,CC1=CC=CC=C1C#N,FC1=CC=CC=C1,CCN,C,CC1=CC=CC(F)=C1F,CC1=C(O)C=CC=C1O,CC1=CC=CC(F)=C1,NC1CC(=O)NC1=O,OC1=CC=CC=C1N1CC=CC1,CO,C=CC,O=CC1=CC=C2CNCC2=C1,CN1CC2=CC=CC=C2C1,CC(F)F,CCF,CC1=CC=CC=C1F,CC(C)C,O=C1C=CCN1,OC1=CC=CC(F)=C1F,CCC1=CC=CC=C1,O=C1C=CCN1C1=CC=CC=C1,CN1CC2=CC3=C(C=C2C1)CNC3
O=c1[nH]c(=O)c2cc3c(=O)n(-c4cccc(S(=O)(=O)c5ccccc5)c4)c(=O)c3cc12,0.00075,0.00075,0.00075,0.0,0.7777777777777777,0.310250922468486,0,0,0,0,2,3,0,0,4,0,0,1,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0.0,0.3844444444444444,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0.0,0.6666666666666666,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0.0,0.7777777777777777,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Sc5ccc(-n6c(=O)c7cc8c(=O)n(-c9ccc(Oc%10ccccc%10)cc9)c(=O)c8cc7c6=O)cc5)cc4)c(=O)c3cc12,0.000929,0.002682,0.0017592,0.0,0.3844444444444444,0.310250922468486,0,0,0,0,0,6,0,0,0,0,0,3,1,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0.0,0.3844444444444444,0.310250922468486,0,0,0,0,2,3,0,0,4,0,0,1,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0.0,0.6666666666666666,0.310250922468486,0,0,0,0,2,3,0,0,4,0,0,1,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(S(=O)(=O)c5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0.0,0.7777777777777777,0.310250922468486,0,0,0,0,2,3,0,0,4,0,0,1,0,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.0006,0.012,0.0060625,0.0,0.3844444444444444,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0.0,0.6666666666666666,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Oc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0.0,0.7777777777777777,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0.0,0.3844444444444444,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0.0,0.6666666666666666,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(Cc5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0.0,0.7777777777777777,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,0.00165,0.00165,0.00165,0.0,0.3844444444444444,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,0.001,0.001,0.001,0.0,0.6666666666666666,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O=c1[nH]c(=O)c2cc3c(=O)n(-c4ccc(-c5ccccc5)cc4)c(=O)c3cc12,0.00075,0.00075,0.00075,0.0,0.7777777777777777,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N#Cc1ccc(Oc2ccc(NC3CC(=O)N(c4ccc(N5C(=O)CC(Nc6ccc(Oc7ccc(C#N)c(C#N)c7)cc6)C5=O)cc4)C3=O)cc2)cc1C#N,0.07,0.07,0.07,0.0,0.3888888888888888,0.465376383702729,0,0,0,0,0,5,0,0,0,0,0,10,2,0,0,0,0,0,0,0,4,4,0,0,0,4,2,0,0,0,0,2,2,4,2,0,2,0,2,0,0,0,0,0,4,2,10,2,0,0,0,0,4,0,0,0,8,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,4,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,6,2,0,2,0,0,0,0,2,0,0,0,2,0,0,4,4,0,0,0,0,0,0,4,0,0,0,2,2,0,2,0,0,2,4,0,8,42,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
N#Cc1ccc(Oc2ccc(NC3CC(=O)N(c4ccc(N5C(=O)CC(Nc6ccc(Oc7ccc(C#N)c(C#N)c7)cc6)C5=O)cc4)C3=O)cc2)cc1C#N,0.01,0.01,0.01,0.0,0.3888888888888888,0.5429391143198506,0,0,0,0,0,5,0,0,0,0,0,10,2,0,0,0,0,0,0,0,4,4,0,0,0,4,2,0,0,0,0,2,2,4,2,0,2,0,2,0,0,0,0,0,4,2,10,2,0,0,0,0,4,0,0,0,8,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,4,0,0,0,4,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,6,2,0,2,0,0,0,0,2,0,0,0,2,0,0,4,4,0,0,0,0,0,0,4,0,0,0,2,2,0,2,0,0,2,4,0,8,42,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Cc1cc(Cc2cc(C)c(Oc3cccc4c3C(=O)N(c3ccc(Oc5ccc(-c6ccc(Oc7ccccc7)cc6)cc5)cc3)C4=O)c(C)c2)cc(C)c1Oc1cccc2c1C(=O)NC2=O,0.0483,0.0483,0.0483,0.0,0.1111111111111111,0.310250922468486,0,0,0,0,0,8,0,0,0,0,0,5,4,0,0,0,4,0,0,2,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,11,4,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,1,1,0,0,4,0,0,2,4,0,0,0,0,4,57,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,2,0,0
CC(C)(c1ccccc1)c1ccc(-n2c(=O)c3cc4c(=O)[nH]c(=O)c4cc3c2=O)cc1,0.00165,0.00165,0.00165,0.0,0.3844444444444444,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0
CC(C)(c1ccccc1)c1ccc(-n2c(=O)c3cc4c(=O)[nH]c(=O)c4cc3c2=O)cc1,0.001,0.001,0.001,0.0,0.6666666666666666,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0
CC(C)(c1ccccc1)c1ccc(-n2c(=O)c3cc4c(=O)[nH]c(=O)c4cc3c2=O)cc1,0.00075,0.00075,0.00075,0.0,0.7777777777777777,0.310250922468486,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0
CC(C)(c1ccc(Oc2cccc3c2C(=O)NC3=O)cc1)c1ccc(Oc2cccc3c2C(=O)N(c2ccc(Oc4ccc(-c5ccc(Oc6ccccc6)cc5)cc4)cc2)C3=O)cc1,0.0311,0.0446,0.03785,0.0,0.1111111111111111,0.310250922468486,0,0,0,0,0,8,0,0,0,0,0,5,4,0,0,0,4,0,0,2,4,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,9,4,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,2,1,1,0,0,4,0,0,2,0,0,0,0,0,4,55,0,0,0,0,0,8,0,0,1,0,0,0,4,0,0,6,0,0
